year,temperature_anomaly,co2,co2_including_luc,cumulative_co2,co2_per_capita,renewable_percent,temp_change_rate,co2_change_rate,co2_growth_pct,temp_zscore,co2_zscore,co2_lag_30,decade,cumulative_temp_change,cumulative_co2_change,decoupling
1880,-0.17,858.056,4238.371,18705.959,0.601,,,,,-0.6183606846084782,-1.0028311030744779,,1880,-0.17,0.0,False
1881,-0.09,887.965,4265.046,19593.924,,,0.08000000000000002,29.908999999999992,3.4856699329647522,-0.407481019519974,-1.0002462898805413,,1880,-0.26,29.908999999999992,False
1882,-0.11,937.888,4494.524,20531.812,,,-0.020000000000000004,49.923,5.622181054433462,-0.46020093579210003,-0.9959318150040527,,1880,-0.37,109.74099999999999,False
1883,-0.17,997.515,4476.418,21529.328,,,-0.06000000000000001,59.62699999999995,6.357582142004148,-0.6183606846084782,-0.9907786953305479,,1880,-0.54,249.19999999999993,False
1884,-0.28,1009.43,4641.681,22538.758,,,-0.11000000000000001,11.914999999999964,1.1944682536102258,-0.9083202241051711,-0.9897489701907652,,1880,-0.8200000000000001,400.57399999999984,False
1885,-0.33,1017.145,4648.389,23555.902,,,-0.04999999999999999,7.715000000000032,0.7642927196536586,-1.040120014785486,-0.989082219921909,,1880,-1.1500000000000001,559.6629999999998,False
1886,-0.31,1032.614,4577.955,24588.516,,,0.020000000000000018,15.469000000000051,1.5208254476992034,-0.9874000985133601,-0.9877453489032523,,1880,-1.4600000000000002,734.2209999999998,False
1887,-0.36,1083.728,4775.171,25672.242,,,-0.04999999999999999,51.11400000000003,4.949961941248127,-1.1191998891936752,-0.9833279447240796,,1880,-1.8200000000000003,959.8929999999998,False
1888,-0.18,1200.802,4767.22,26873.045,,,0.18,117.07399999999984,10.80289519141333,-0.644720642744541,-0.9732101066195981,,1880,-2.0000000000000004,1302.6389999999997,False
1889,-0.11,1201.516,4879.21,28074.561,,,0.06999999999999999,0.7140000000001692,0.05946026072576327,-0.46020093579210003,-0.9731484008915406,,1880,-2.1100000000000003,1646.0989999999997,False
1890,-0.35,1306.591,5256.924,29381.152,0.844,,-0.24,105.07499999999982,8.74520189493937,-1.092839931057612,-0.9640675474242602,,1890,-2.4600000000000004,2094.6339999999996,False
1891,-0.22,1368.916,5529.553,30750.068,,,0.12999999999999998,62.325000000000045,4.7700466328024715,-0.7501604752887931,-0.9586812596074793,,1890,-2.6800000000000006,2605.4939999999997,False
1892,-0.27,1379.809,5481.639,32129.875,,,-0.05000000000000002,10.893000000000029,0.7957391103617706,-0.8819602659691081,-0.9577398583529555,,1890,-2.9500000000000006,3127.2469999999994,False
1893,-0.31,1362.515,5651.208,33492.391,,,-0.03999999999999998,-17.29399999999987,-1.2533618783469258,-0.9874000985133601,-0.9592344505952886,,1890,-3.2600000000000007,3631.705999999999,False
1894,-0.31,1411.533,5715.698,34903.926,,,0.0,49.0179999999998,3.5976117694116905,-0.9874000985133601,-0.9549981881612257,,1890,-3.5700000000000007,4185.182999999999,False
1895,-0.23,1495.239,5804.726,36399.164,,,0.07999999999999999,83.70600000000013,5.930148285587378,-0.7765204334248561,-0.9477640989836651,,1890,-3.8000000000000007,4822.365999999999,False
1896,-0.12,1544.661,5789.286,37943.824,,,0.11000000000000001,49.422000000000025,3.305290993613741,-0.486560893928163,-0.9434929218239226,,1890,-3.920000000000001,5508.971,False
1897,-0.11,1617.493,6021.85,39561.316,,,0.009999999999999995,72.83199999999988,4.7150798783681225,-0.46020093579210003,-0.9371985918717078,,1890,-4.030000000000001,6268.407999999999,False
1898,-0.28,1705.961,6062.896,41267.277,,,-0.17000000000000004,88.46800000000007,5.469451799791414,-0.9083202241051711,-0.9295529583285876,,1890,-4.310000000000001,7116.312999999999,False
1899,-0.18,1863.135,6310.746,43130.414,,,0.10000000000000003,157.17399999999998,9.213223514488323,-0.644720642744541,-0.9159695744326434,,1890,-4.490000000000001,8121.391999999999,False
1900,-0.09,1961.491,6467.588,45091.906,1.174,,0.09,98.356,5.279059220077986,-0.407481019519974,-0.9074693943362566,,1900,-4.580000000000001,9224.827,False
1901,-0.16,2023.964,6556.726,47115.871,,,-0.07,62.472999999999956,3.1849751031230777,-0.5920007264724151,-0.902070315976405,,1900,-4.740000000000001,10390.734999999999,False
1902,-0.29,2074.8,6702.02,49190.672,,,-0.12999999999999998,50.83600000000024,2.5117047536418857,-0.9346801822412341,-0.8976769372767841,,1900,-5.030000000000001,11607.479,False
1903,-0.38,2262.046,6858.983,51452.715,,,-0.09000000000000002,187.24599999999964,9.024773472141877,-1.171919805465801,-0.8814946533050076,,1900,-5.410000000000001,13011.469,False
1904,-0.48,2287.509,6966.584,53740.223,,,-0.09999999999999998,25.463000000000193,1.1256623428524515,-1.435519386826431,-0.879294074938723,,1900,-5.890000000000001,14440.921999999999,False
1905,-0.27,2437.062,7263.804,56177.285,,,0.20999999999999996,149.55299999999988,6.5378103430412615,-0.8819602659691081,-0.8663693175883334,,1900,-6.16,16019.927999999998,False
1906,-0.23,2544.486,7381.79,58721.77,,,0.04000000000000001,107.42399999999998,4.407930532748039,-0.7765204334248561,-0.8570854574610991,,1900,-6.390000000000001,17706.357999999997,False
1907,-0.4,2900.325,7648.859,61622.098,,,-0.17,355.83899999999994,13.984710468047368,-1.2246397217379272,-0.8263329300574007,,1900,-6.790000000000001,19748.626999999997,False
1908,-0.44,2785.687,7624.521,64407.781,,,-0.03999999999999998,-114.63799999999992,-3.952591519915871,-1.3300795542821793,-0.836240242736745,,1900,-7.230000000000001,21676.257999999998,False
1909,-0.49,2901.167,7847.356,67308.953,,,-0.04999999999999999,115.48000000000002,4.1454765018467565,-1.4618793449624943,-0.8262601622380389,,1900,-7.7200000000000015,23719.369,False
1910,-0.44,3043.326,7790.212,70352.273,1.691,,0.04999999999999999,142.1590000000001,4.9000626299692485,-1.3300795542821793,-0.8139744135056559,858.056,1910,-8.160000000000002,25904.639,False
1911,-0.45,3090.098,7916.859,73442.375,,,-0.010000000000000009,46.771999999999935,1.5368711731835516,-1.3564395124182425,-0.8099322562049505,887.965,1910,-8.610000000000001,28136.681,False
1912,-0.38,3246.477,7932.678,76688.852,,,0.07,156.3789999999999,5.0606485619549835,-1.171919805465801,-0.7964175782667173,937.888,1910,-8.990000000000002,30525.102,False
1913,-0.36,3516.533,8031.084,80205.383,,,0.020000000000000018,270.05600000000004,8.31843256551641,-1.1191998891936752,-0.7730786397565114,997.515,1910,-9.350000000000001,33183.579,False
1914,-0.16,3189.786,7786.192,83395.172,,,0.19999999999999998,-326.74699999999984,-9.291737060337546,-0.5920007264724151,-0.8013169612209271,1009.43,1910,-9.510000000000002,35515.309,True
1915,-0.15,3140.277,7711.419,86535.445,,,0.010000000000000009,-49.509000000000015,-1.5521103923586077,-0.565640768336352,-0.805595657145853,1017.145,1910,-9.660000000000002,37797.53,True
1916,-0.37,3391.973,7914.631,89927.414,,,-0.22,251.6959999999999,8.015089114750062,-1.1455598473297381,-0.7838434373571247,1032.614,1910,-10.030000000000001,40331.447,False
1917,-0.47,3548.138,8093.514,93475.562,,,-0.09999999999999998,156.16499999999996,4.603957637634504,-1.4091594286903681,-0.7703472538527912,1083.728,1910,-10.500000000000002,43021.529,False
