country,baseline_temp,recent_temp,total_warming,warming_per_decade,trend_per_decade,current_temp,population,gdp,region,warming_rank,trend_rank,is_arctic,pop_weighted_warming
United States,0.1108,0.22290909090909092,0.11210909090909092,0.02802727272727273,0.013689988921388209,0.241,343477332.0,,North America,1.0,1.0,False,38506931.43840001
China,0.0172,0.1040909090909091,0.0868909090909091,0.021722727272727275,0.005119199373293592,0.142,1422584937.0,,Asia,2.0,2.0,False,123609698.43496366
Russia,0.038266666666666664,0.08154545454545455,0.04327878787878788,0.01081969696969697,0.005066147192568523,0.089,145440504.0,,Other,3.0,3.0,True,6294488.721600001
Brazil,0.0144,0.04954545454545455,0.03514545454545455,0.008786363636363637,0.002895944486420588,0.055,211140731.0,,South America,4.0,4.0,False,7420636.964054546
Japan,0.0059,0.028545454545454544,0.022645454545454545,0.005661363636363636,0.00158906230444396,0.032,124370947.0,,Asia,5.0,10.0,False,2816436.627063636
Indonesia,0.015033333333333334,0.03618181818181818,0.021148484848484847,0.005287121212121212,0.0020590225790451996,0.041,281190068.0,,Asia,6.0,7.0,False,5946743.8926424235
Germany,0.019066666666666666,0.03954545454545454,0.020478787878787878,0.005119696969696969,0.0025741084962290998,0.042,84548234.0,,Europe,7.0,5.0,False,1731445.349612121
India,0.009133333333333334,0.029,0.019866666666666668,0.004966666666666667,0.0015942771321692294,0.038,1438069597.0,,Asia,8.0,9.0,False,28569649.327066667
Canada,0.0128,0.026727272727272725,0.013927272727272724,0.003481818181818181,0.001678803695342811,0.029,39299099.0,,North America,9.0,8.0,True,547329.2697090908
United Kingdom,0.0213,0.03418181818181818,0.012881818181818182,0.0032204545454545454,0.0022174374568328147,0.035,68682965.0,,Europe,10.0,6.0,False,884761.4673181818
Ukraine,0.006500000000000001,0.017181818181818184,0.010681818181818183,0.0026704545454545457,0.0010784959046219597,0.018,37732832.0,,Other,11.0,11.0,False,403055.250909091
France,0.0070999999999999995,0.015636363636363636,0.008536363636363637,0.0021340909090909093,0.0009947341828480838,0.017,66438828.0,,Europe,12.0,12.0,False,567145.9953818183
Mexico,0.0038,0.012090909090909091,0.008290909090909092,0.002072727272727273,0.0006946614070300513,0.014,129739764.0,,North America,13.0,15.0,False,1075660.5888
Italy,0.0023333333333333335,0.010363636363636365,0.008030303030303032,0.002007575757575758,0.0005864247604655798,0.012,59499452.0,,Europe,14.0,20.0,False,477798.62969696976
Australia,0.004866666666666667,0.012636363636363638,0.007769696969696972,0.001942424242424243,0.0007290329159926019,0.014,26451125.0,,Oceania,15.0,14.0,False,205517.2257575758
South Africa,0.0028,0.010363636363636363,0.007563636363636363,0.0018909090909090907,0.0005981059745701824,0.012,63212386.0,,Africa,16.0,19.0,False,478115.50138181815
Poland,0.0048000000000000004,0.012272727272727274,0.007472727272727273,0.0018681818181818183,0.0007430086542963227,0.013,38762847.0,,Other,17.0,13.0,False,289664.18394545454
South Korea,0.0002,0.006727272727272727,0.006527272727272727,0.0016318181818181818,0.0002927488399905437,0.009,51748744.0,,Asia,18.0,33.0,False,337778.1653818182
Iran,0.0012000000000000001,0.007545454545454546,0.0063454545454545465,0.0015863636363636366,0.0003791759181573348,0.01,90608708.0,,Other,19.0,27.0,False,574953.4380363637
Saudi Arabia,6.666666666666667e-05,0.005909090909090909,0.005842424242424243,0.0014606060606060607,0.00025626822292577325,0.008,33264288.0,,Other,20.0,37.0,False,194344.08261818183
Kazakhstan,0.0038,0.009454545454545453,0.005654545454545454,0.0014136363636363634,0.0006026023149199697,0.01,20330106.0,,Other,21.0,18.0,False,114957.50847272726
Thailand,0.003433333333333334,0.008545454545454545,0.005112121212121212,0.001278030303030303,0.0005402561523378651,0.01,71702438.0,,Other,22.0,21.0,False,366551.55426060606
Democratic Republic of Congo,0.0028333333333333335,0.007909090909090909,0.0050757575757575755,0.0012689393939393939,0.00046585794345736125,0.01,105789733.0,,Other,23.0,22.0,False,536963.0387121212
Spain,0.0014333333333333336,0.006454545454545455,0.005021212121212122,0.0012553030303030304,0.0003608429015765004,0.007,47911583.0,,Europe,24.0,29.0,False,240574.22130606062
Malaysia,0.0022,0.007,0.0048000000000000004,0.0012000000000000001,0.00039595607492664474,0.008,35126295.0,,Other,25.0,26.0,False,168606.21600000001
